Title,Abstract Note,Manual Tags
Individuals with Smith-Magenis syndrome display profound neurodevelopmental behavioral deficiencies and exhibit food-related behaviors equivalent to Prader-Willi syndrome,"Smith-Magenis syndrome (SMS) is a neurodevelopmental disorder associated with intellectual disability, sleep disturbances, early onset obesity and vast behavioral deficits. We used the Behavior Problems Inventory-01 to categorize the frequency and severity of behavioral abnormalities in a SMS cohort relative to individuals with intellectual disability of heterogeneous etiology. Self-injurious, stereotyped, and aggressive/destructive behavioral scores indicated that both frequency and severity were significantly higher among individuals with SMS relative to those with intellectual disability. Next, we categorized food behaviors in our SMS cohort across age using the Food Related Problems Questionnaire (FRPQ) and found that problems began to occur in SMS children as early as 5–11 years old, but children 12–18 years old and adults manifested the most severe problems. Furthermore, we evaluated the similarities of SMS adult food-related behaviors to those with intellectual disability and found that SMS adults had more severe behavioral problems. Many neurodevelopmental disorders exhibit syndromic obesity including SMS. Prader-Willi syndrome (PWS) is the most frequent neurodevelopmental disorder with syndromic obesity and has a well-established management and treatment plan. Using the FRPQ we found that SMS adults had similar scores relative to PWS adults. Both syndromes manifest weight gain early in development, and the FRPQ scores highlight specific areas in which behavioral similarities exist, including preoccupation with food, impaired satiety, and negative behavioral responses. SMS food-related behavior treatment paradigms are not as refined as PWS, suggesting that current PWS treatments for prevention of obesity may be beneficial for individuals with SMS. (PsycInfo Database Record (c) 2020 APA, all rights reserved)",Adolescence (13-17 yrs); Adulthood (18 yrs & older); Behavior Problems; Childhood (birth-12 yrs); Eating Behavior; Etiology; Female; Intellectual Development Disorder; Male; Middle Age (40-64 yrs); Neurodevelopmental Disorders; Prader Willi Syndrome; Preschool Age (2-5 yrs); School Age (6-12 yrs); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)
Challenging behaviour and its correlates in preschool‐aged children with an intellectual disability in Saudi Arabia,"Background Young children with an intellectual disability have a higher risk of developing challenging behaviour (CB). Early identification of risk factors for CB allows for earlier intervention. The aim of the current study was to assess the prevalence and correlates of CB in preschool‐aged children with an intellectual disability in Riyadh (Saudi Arabia). Methods One hundred twenty parents of preschool‐aged (3–6 years old) children who had been diagnosed (DSM‐5 criteria) with an intellectual disability completed an online cross‐sectional survey that included demographic, CB and child adaptive skills measures. The relationship between CB and 15 potential correlates (e.g. gender and degree of disability) was examined using independent samples t‐tests and chi‐squared tests. Results Most preschool‐aged (3–6 years old) children with an intellectual disability exhibited CB (78.8%, 95% CI [70.3, 85.8]), with a 63.2% prevalence rate for self‐injurious behaviours (95% C [53.8, 72.0]), a 57.6% rate for aggressive destructive behaviours (95% CI [48.2, 66.7]) and a 25% rate for stereotypy (95% CI [17.7, 34.0]). The likelihood of a child engaging in self‐injurious and stereotyped behaviours was higher in those with autism and intellectual disability. Children with Down syndrome displayed fewer stereotyped behaviours. Low adaptive skill levels were associated with increased overall CB, self‐injurious and stereotyped behaviours. Conclusions The identified correlates of CB in this population and cultural context align with the international evidence base. Findings have implications for the importance of early systematic screening of CB in preschool‐aged children in Saudi Arabia and other similar contexts. Preventative measures are suggested for preschool‐aged children with an intellectual disability who are more likely to demonstrate CB, such as those with autism and poor adaptive behaviours. (PsycInfo Database Record (c) 2025 APA, all rights reserved)",Adulthood (18 yrs & older); Epidemiology; Female; Intellectual Development Disorder; Male; Preschool Students; Risk Factors
Challenging behaviour and its correlates in preschool-aged children with an intellectual disability in Saudi Arabia,"Background: Young children with an intellectual disability have a higher risk of developing challenging behaviour (CB). Early identification of risk factors for CB allows for earlier intervention. The aim of the current study was to assess the prevalence and correlates of CB in preschool-aged children with an intellectual disability in Riyadh (Saudi Arabia). Methods: One hundred twenty parents of preschool-aged (3–6 years old) children who had been diagnosed (DSM-5 criteria) with an intellectual disability completed an online cross-sectional survey that included demographic, CB and child adaptive skills measures. The relationship between CB and 15 potential correlates (e.g. gender and degree of disability) was examined using independent samples t-tests and chi-squared tests. Results: Most preschool-aged (3–6 years old) children with an intellectual disability exhibited CB (78.8%, 95% CI [70.3, 85.8]), with a 63.2% prevalence rate for self-injurious behaviours (95% C [53.8, 72.0]), a 57.6% rate for aggressive destructive behaviours (95% CI [48.2, 66.7]) and a 25% rate for stereotypy (95% CI [17.7, 34.0]). The likelihood of a child engaging in self-injurious and stereotyped behaviours was higher in those with autism and intellectual disability. Children with Down syndrome displayed fewer stereotyped behaviours. Low adaptive skill levels were associated with increased overall CB, self-injurious and stereotyped behaviours. Conclusions: The identified correlates of CB in this population and cultural context align with the international evidence base. Findings have implications for the importance of early systematic screening of CB in preschool-aged children in Saudi Arabia and other similar contexts. Preventative measures are suggested for preschool-aged children with an intellectual disability who are more likely to demonstrate CB, such as those with autism and poor adaptive behaviours.",adaptive behavior; age distribution; aggression; article; autism; automutilation; child; child behavior; controlled study; cross-sectional study; cultural factor; demographics; Down syndrome; DSM-5; evidence based practice; female; gender; health survey; human; intellectual impairment; language ability; major clinical study; male; online system; outcome assessment; parent; patient participation; population structure; preschool child; prevalence; Saudi Arabia; screening test; stereotypy
Analysis of an escalating sequence of problem behaviors: A case study,"This case study focused on a 21-yr-old severely mentally retarded female student who displayed problem behaviors that fit a pattern of behavioral escalation. Analysis of the pattern in which problem behaviors occurred within instructional sessions, and comparison of the conditional rates of occurrence for specific behaviors with overall base rates of occurrence, indicated that her problem behaviors represented an escalating behavioral sequence. Functional assessment led to the hypothesis that a teacher's use of rule statements was related to the problem behaviors' occurrence and escalation. Eliminating the use of rule statements reduced the rate of problem behaviors. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); Behavior Problems; Behavioral Assessment; Case Report; Intellectual Development Disorder
Transitions: Placing a son or daughter with intellectual disability and challenging behaviour in alternative residential provision,"The timing of moves to alternative care has implications for the effective support of people with intellectual disabilities and their families. E. L. Essex et al. (1997) proposed three transition profiles: 'normative', 'stress process' and 'postponed'. The applicability of these profiles to people with intellectual disabilities and challenging behaviour was tested. Qualitative analysis of interviews with families of 13 males and five females aged between 11 and 35 years, who had left home, was undertaken. Few people moved due to 'normative' family life cycle changes. The majority left because of family difficulties ('stress process'). This model was elaborated and three transition routes described: 'forensic'- involving police contact (actual/potential), 'family'- reflecting problems in the family and 'service'- deficits leading to placement out of district. This research suggests that people (particularly young men) with intellectual disabilities and challenging behaviour enter statutory care earlier than their counterparts, and people with different levels of intellectual and physical disabilities follow different transition routes. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Adolescence (13-17 yrs); Adulthood (18 yrs & older); Behavior Problems; Childhood (birth-12 yrs); Family; Female; Intellectual Development Disorder; Learning Disabilities; Male; Residential Care Institutions; School Age (6-12 yrs); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)
"Personality disorders in offenders with intellectual disability: A comparison of clinical, forensic and outcome variables and implications for service provision","Aim: To establish any differences between patients with and without a diagnosis of personality disorders, being treated in a secure inpatient service for offenders with intellectual disability (ID) in the UK. Method: A cohort study involving a selected population of people with ID and offending behaviours. Results: The study included a total of 138 patients, treated over a 6 year period - 77 with a dissocial or emotionally unstable personality disorder and 61 without. Women were more likely to be in the personality disorder group. Both groups had high prevalence of abuse with no significant differences. Depressive disorders and substance abuse were more common in the personality disorder group, while epilepsy and autistic spectrum disorders were more common in the non-personality disorder group. Rather than differences, what was more striking was the rate and range of these comorbidities across both groups. Although past histories of violence and institutional aggression were no different, compulsory detention under criminal sections and restriction orders were more common in the personality disorder group. There were no differences in treatment outcomes. Conclusions: Although about half of patients detained in secure units for offenders with ID have a personality disorder, there were more similarities than differences between this group and the rest. While good treatment outcomes supported the case for specialised secure treatment units for people with ID, the case for establishing a more specialised ID-personality disorder unit was less convincing. There is also a need to explore whether there are alternative diagnostic models that can delineate better the group with personality difficulties in this population. © 2010 The Authors. Journal Compilation © 2010 Blackwell Publishing Ltd.",article; autism; clinical assessment; comparative study; depression; emotional stability; epilepsy; female; forensic psychiatry; hospital patient; human; intellectual impairment; major clinical study; male; mental health care; mental health service; offender; personality disorder; prevalence; sexual abuse; substance abuse; United Kingdom
"Response to Lindsay et al. (Journal of Intellectual Disability Research, 48, 580-590) 'Women with intellectual disability who have offended'",,adaptive behavior; automutilation; child abuse; criminal behavior; data analysis; demography; forensic identification; human; intellectual impairment; letter; medical specialist; offender; patient care; patient referral; personality disorder; sex difference; sexual abuse; social aspect; social psychology; violence
Mediator analysis: An overview of recent research on carers supporting people with intellectual disability and challenging behaviour,"Families and front-line care staff are often key agents in helping deliver behavioural interventions to people with intellectual disability and challenging behaviour. The present paper reviews factors which may impact on the effectiveness of such interventions. Both PsycLit and MedLine were used to conduct an automated literature search which included the terms ""learning disability"", ""mental handicap"", ""mental retardation"", ""intellectual disability"", ""challenging behaviour"", ""families"" and ""staff"". This search was substantially augmented by additional citations obtained from books and journal articles. The impact of attitudes, beliefs and emotional states as setting conditions for interventions was highlighted. A variety of more general setting conditions related to intervention effectiveness were also identified. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Behavior Modification; Behavior Problems; Caregivers; Intellectual Development Disorder
The relationship between challenging behaviour and mental ill-health in people with intellectual disabilities: A review of current theories and evidence,"Challenging behaviours and problems of mental ill-health are common amongst people with intellectual disabilities. The article examines conceptual similarities and differences between these conditions, examines the data on comorbidity, and explores possible hypothetical relationships between behavioural and psychiatric disorder in this population. While there is little evidence at present to suggest that many of the challenging behaviours seen in people with intellectual disabilities are underpinned by problems of mental ill-health, only qualified conclusions are possible because of limitations in the quality and scope of existing research. A conceptual model for looking at the risk variables that may contribute to both conditions is suggested, and requirements for future research and current multi-disciplinary practice are outlined. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Behavior Problems; Comorbidity; Intellectual Development Disorder; Mental Disorders
Parents' Use of Physical Interventions in the Management of Their Children's Severe Challenging Behaviour,"Background: Although training staff supporting people with challenging behaviour in physical interventions has become accepted practice, parents are often left to fend for themselves while managing equivalent behaviours. The study explores parents' experience of managing severe challenging behaviours, their use of physical interventions and access to training in reactive strategies. Method: A postal survey methodology was employed that utilized a novel 20-item questionnaire. The questionnaire yielded both quantitative and qualitative data concerning the types of challenging behaviour displayed by the children, frequency of use and nature of physical interventions, types of training received and any difficulties experienced in obtaining training. The sample was drawn from the membership of a national charitable organization and comprised of 72 respondents. Results: The majority of respondents had experienced major episodes of challenging behaviour. The emotional impact of living with such behaviours was apparent. Although the vast majority of respondents had employed restrictive physical interventions, few had received any formal training in such strategies. There was evidence that a number of high-risk physical interventions were sometimes being employed. Accessing training appeared more problematic for parents when compared with paid care staff. Conclusions: In this specific sample, parental use of physical intervention was high while parent training in physical intervention was uncommon. Impediments to parent training in physical intervention are discussed, as are wider issues concerning parental support. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); Behavior Problems; Female; Health Care Utilization; Intellectual Development Disorder; Intervention; Male; Middle Age (40-64 yrs); Parent Training; Parental Attitudes; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)
A day in the life: Day activities for people with intellectual disabilities and challenging behviour in two English counties,"Survey methods were use to identify people with intellectual disabilities and challenging behavior receiving day services in 2 English counties. The data suggested that there may have been a significant shortfall in the numbers served as compared to the numbers in need. The majority of users were supported within large-scale services that provided a social care model of support. A sub-sample of 20 users (aged 22–49 yrs) was selected for more detailed study, and outcome data were reported in terms of engagement levels, rates of staff contact, and the nature of activities undertaken. There was little evidence of any special planning around the behavioral needs of clients, and where plans did exist, they were predominantly reactive in nature. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Adult Day Care; Adulthood (18 yrs & older); Behavior Problems; Day Care Centers; Female; Health Care Delivery; Intellectual Development Disorder; Male; Middle Age (40-64 yrs); Thirties (30-39 yrs); Treatment Planning; Young Adulthood (18-29 yrs)
Predictors of restrictive reactive strategy use in people with challenging behaviour,"Background: Intrusive reactive strategies (physical restraint, emergency medication and seclusion) are frequently used procedures in the management of challenging behavior. The present study identifies predictors for reactive strategy use in an attempt to more clearly delineate at risk service users. Method: Eight hundred and thirty-nine agencies and service settings in a large area of South Wales were screened to identify children and adults with challenging behavior against a number of defined operational criteria. Full data were available for 901 participants. Univariate and multivariate statistics were employed to identify predictors for reactive strategy use. Results: The individuals most at risk of the use of reactive strategies were those who were subject to formal detention under the Mental Health Act (restraint and sedation), had more severe challenging behavior (seclusion), showed destructive behavior (restraint and seclusion) were placed out of area (seclusion) and had behavioral plans in place for specific topographies (restraint and sedation). Conclusions: Individual differences such as challenging behavior and service practices, such as detention under the Mental Health Act, predicted the use of restrictive procedures. The identification of those service users most at risk of reactive strategy use may enable the specific targeting of therapeutic interventions that may reduce or eliminate their use. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); At Risk Populations; Behavior Modification; Behavior Problems; Drug Therapy; Emergency Services; Female; Intellectual Development Disorder; Male; Patient Seclusion; Physical Restraint
Screening for psychiatric disorders in a total population of adults with intellectual disability and challenging behaviour using the PASS-ADD checklist,"Background: Previous research has suggested a variety of possible relationships between the presence of symptoms of psychiatric disorder and challenging behaviours in people with intellectual disability. This study explores this relationship in a total population sample of adults with challenging behaviour. Materials and Methods: Over 800 service settings in a defined geographical area were screened to identify individuals with challenging behaviour. Detailed behavioural data, Psychiatric Assessment Schedule for Adults with a Developmental Disability (PAS-ADD) checklist and Adaptive Behaviour Scale (Part 1) scores were collected on 76% of the 930 adults identified. Results: Just under 17% of participants reached threshold scores on one on more subscales of the PAS-ADD checklist. There was some evidence of increasing behavioural severity being associated with increasing psychiatric symptoms. There were no associations between specific forms of challenging behaviour and individual symptoms. Conclusions: The data would appear supportive of previous suggestions that it is unlikely that the majority of challenging behaviours in adults with intellectual disability are underpinned by psychiatric disorder. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Adulthood (18 yrs & older); Aged (65 yrs & older); Behavior Problems; Checklist (Testing); Female; Health Screening; Intellectual Development Disorder; Male; Mental Disorders; Middle Age (40-64 yrs); Thirties (30-39 yrs); Very Old (85 yrs & older); Young Adulthood (18-29 yrs)
Changing care staff approaches to the prevention and management of aggressive behaviour in a residential treatment unit for persons with mental retardation and challenging behaviour,"The impact of a new training procedure aimed at improving staff skills in the preventative and reactive management of severely challenging behaviors was investigated within a 6-place residential treatment unit. Teaching methods included classroom instruction, role play, and repeated practice of physical interventions. The population of the unit remained largely static throughout the study, with 7 residents accounting for 90.8% of possible inpatient days. The average age of the group was 28 yrs; 4 were male. Results show that there was some evidence to support the notion that the training reduced the number of behavioral incidents for most residents. The rates of major reactive strategy use (restraint and emergency medication) also declined over time, as did rates of staff and resident injury. Although only a limited number of these changes showed statistically significant correlations with time, it is argued that they were clinically significant when viewed against the complexity of the client group under study. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",Adulthood (18 yrs & older); Aggressive Behavior; Behavior Problems; Clinical Methods Training; Female; Intellectual Development Disorder; Male; Mental Health Personnel; Residential Care Institutions; Young Adulthood (18-29 yrs)
"Predictors, costs and characteristics of out of area placement for people with intellectual disability and challenging behaviour","Background: Out of area placements for people with challenging behaviour represent an expensive and often ineffective strategy for meeting the needs of this service user group. Methods: More than 800 agencies and service settings in a large area of South Wales were screened to identify children and adults with challenging behaviour against a number of defined operational criteria. Detailed data on identified individuals and the services they received were collected by interviewing key informants. Univariate and multivariate statistics were employed to identify predictors of out of area placement. Results: In total, 1458 people were identified. Full data were available for 901 participants, 97 of whom were placed out of area. Predictors of out of area placement included behaviours resulting in physical injury and exclusion from service settings, a history of formal detention under the mental health act, the presence of mental health problems, a diagnosis of autism and higher total score on the Adaptive Behaviour Scale. Out of area placements were typically of high cost, and associated with only limited evidence of improved service quality. Conclusions: Identifying predictors for out of area placement can be used to highlight deficiencies in local services and individuals at increased risk of exclusion from local services. (PsycInfo Database Record (c) 2022 APA, all rights reserved)",Behavior Problems; Intellectual Development Disorder; Learning Disabilities; Patient History
